Day of the Week,Field Contact Date,Street Number,Street Name,City
Thu,07/05/2018 01:14:00 AM,2400,CENTRAL ST,EVANSTON
Tue,07/03/2018 10:16:00 PM,800,DODGE AV,EVANSTON
Tue,07/03/2018 05:42:00 AM,2300,GREENLEAF ST/PITNER AV,EVANSTON
Sun,07/01/2018 07:55:00 PM,1300,HOWARD ST,EVANSTON
Sun,07/01/2018 04:29:00 PM,100,RIDGE AV,EVANSTON
Sat,06/30/2018 07:49:00 PM,1500,MAPLE AV,EVANSTON
Sat,06/30/2018 10:40:00 AM,1300,MCDANIEL AV,EVANSTON
Fri,06/29/2018 08:53:00 PM,1700,RIDGE AV,EVANSTON
Fri,06/29/2018 03:52:00 PM,2400,CENTRAL ST,EVANSTON
Thu,06/28/2018 11:53:00 PM,100,RIDGE AV,EVANSTON
Thu,06/28/2018 07:47:00 AM,1300,MCDANIEL AV,EVANSTON
Wed,06/27/2018 02:32:00 PM,1400,NOYES ST,EVANSTON
Wed,06/27/2018 12:20:00 PM,1700,BROWN AV,EVANSTON
Tue,06/26/2018 07:15:00 PM,2100,GREEN BAY RD/PAYNE ST,EVANSTON
Tue,06/26/2018 03:45:00 PM,300,CUSTER AV,EVANSTON
Tue,06/26/2018 03:38:00 AM,1300,DODGE AV,EVANSTON
Mon,06/25/2018 07:55:00 PM,7600,N WESTERN,CHICAGO
Mon,06/25/2018 07:35:00 PM,7400,N WESTERN,CHICAGO
Sun,06/24/2018 12:19:00 AM,1600,DODGE AV,EVANSTON
Sat,06/23/2018 04:34:00 AM,1400,DODGE AV/GREENWOOD ST,EVANSTON
Sat,06/23/2018 02:00:00 AM,1700,SIMPSON ST,EVANSTON
Sat,06/23/2018 01:29:00 AM,400,RIDGE AV,EVANSTON
Fri,06/22/2018 06:53:00 PM,2100,EMERSON ST,EVANSTON
Fri,06/22/2018 06:44:00 PM,600,HOWARD ST,EVANSTON
Fri,06/22/2018 12:23:00 AM,2000,DODGE AV/FOSTER ST,EVANSTON
Thu,06/21/2018 06:51:00 PM,1300,HOWARD ST,EVANSTON
Wed,06/20/2018 08:12:00 PM,7600,N HOWARD,CHICAGO
Wed,06/20/2018 07:26:00 PM,1900,EMERSON ST,EVANSTON
Wed,06/20/2018 05:39:00 PM,7400,N WESTERN,CHICAGO
Tue,06/19/2018 07:35:00 PM,7600,N SHERIDAN,CHICAGO
Tue,06/19/2018 05:12:00 PM,800,PITNER ALY,EVANSTON
Mon,06/18/2018 04:49:00 PM,,HERMITAGE/JUNEWAY,CHICAGO
Mon,06/18/2018 04:49:00 PM,7800,N HERMITAGE AV/W JUNEWAY TER,CHICAGO
Fri,06/15/2018 05:41:00 PM,1900,EMERSON ST,EVANSTON
Fri,06/15/2018 07:48:00 AM,100,ASBURY AV,EVANSTON
Fri,06/15/2018 07:48:00 AM,100,ASBURY AV,EVANSTON
Fri,06/15/2018 02:48:00 AM,1100,HOWARD ST,EVANSTON
Fri,06/15/2018 12:03:00 AM,2500,HOWARD ST,EVANSTON
Thu,06/14/2018 08:37:00 PM,1600,MADISON ST,EVANSTON
Wed,06/13/2018 06:02:00 PM,800,HOWARD ST,EVANSTON
Sat,06/09/2018 11:58:00 PM,300,DEWEY AV,EVANSTON
Sat,06/09/2018 06:04:00 PM,1000,AUSTIN ST,EVANSTON
Sat,06/09/2018 02:09:00 PM,2000,WARREN ST,EVANSTON
Fri,06/08/2018 09:01:00 PM,1300,DODGE AV,EVANSTON
Fri,06/08/2018 06:53:00 PM,7200,MCCORMICK,SKOKIE
