Arrest Key,Relates Incident Number,Day of the Week,Arrest Date,Arrest Time,Age,Sex,Race,Ethnicity,Arrest Type,Weapon Code,Street Number,Street Name,City,Location
49638,18011533,Fri,12/28/2018 12:00:00 AM,102,49,Male,White,,Warrant,None,1700,ORRINGTON AV,EVANSTON,"(42.04911412362465, -87.68035607867104)"
49645,18011610,Sun,12/30/2018 12:00:00 AM,2149,48,Female,White,,Taken into Custody,None,3300,HARTZELL ST,EVANSTON,"(42.065515260029855, -87.72626851879919)"
49649,18011583,Sun,12/30/2018 12:00:00 AM,207,25,Male,White,,Taken into Custody,None,500,ELMWOOD AV,EVANSTON,"(42.027702313131485, -87.6841653462886)"
49658,18000830,Wed,08/15/2018 12:00:00 AM,1245,69,Male,Black,,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49663,18011570,Sat,12/29/2018 12:00:00 AM,1620,49,Male,Black,,,None,900,RIDGE AV/MAIN ST,EVANSTON,"(42.03494282048115, -87.68858509367074)"
49671,18009310,Fri,01/04/2019 12:00:00 AM,1518,38,Male,White,,Taken into Custody,None,1500,ELMWOOD AV,EVANSTON,"(42.0460107307921, -87.68378492477495)"
49672,18009838,Fri,01/04/2019 12:00:00 AM,1539,38,Male,White,,Warrant,None,2300,JACKSON AV,EVANSTON,"(42.06108763165332, -87.69213234158403)"
49673,18010633,Fri,01/04/2019 12:00:00 AM,1550,38,Male,White,,Warrant,None,2300,JACKSON AV,EVANSTON,"(42.06108763165332, -87.69213234158403)"
49678,18011161,Sat,12/15/2018 12:00:00 AM,1827,49,Male,White,,Taken into Custody,None,7600,N. WESTERN,CHICAGO,
49679,18010094,Mon,01/07/2019 12:00:00 AM,1057,13,Male,Black,Not Hispanic,,None,2400,PRAIRIE AV,EVANSTON,"(42.06184410504257, -87.69882766617769)"
49680,18009793,Wed,01/02/2019 12:00:00 AM,1443,13,Male,Black,Not Hispanic,,Personal (Hands/Fist/Feet),2400,PRAIRIE AV,EVANSTON,"(42.06184410504257, -87.69882766617769)"
49687,18008329,Thu,01/10/2019 12:00:00 AM,2112,58,Male,Black,Not Hispanic,Warrant,None,2700,RIDGE AV,EVANSTON,"(42.06747071840131, -87.6829566385919)"
